Name,AI-Driven,Category,Champion,Description,URL
Neuron (by Arup),Yes,Data Analysis,No,"Neuron is a central analytics platform to provide more operation insights with the increasing convergence of building systems. 
With Arup’s total engineering domain expertise, we have developed different types of machine learning models to address engineering challenges in different industries. Historical data from sensors, Building Management System (BMS) and people counting system, etc. can be used as inputs for the machine learning model’s training, with the model improving itself through continual self-learning.
Through Analyzing historical data, ML models uncover hidden patterns and give estimation on energy usage for better planning in advance.
• Trend discovery & energy forecast
• Building system optimization
• Fault detection
• Predictive maintenance
Arup has developed and applied an integrated platform based on AI machine learning for the energy forecasting and optimization of HVAC system operation in existing developments with the aim to reduce the total building energy consumption. The platform was developed using thousands of existing HVAC plants’ operating data points as well as hourly regional weather data for evaluation. The digital platform learnt the system’s operating patterns with respect to the building’s occupancy profile in a typical day of operation for predictions on the cooling demand.",http://www.arupneuron.com/
Miro AI,Yes,Platform,No,"Miro AI. You and your team, supercharged. You're here to create the next big thing and we're here to help. Unlock the power of your ideas with Miro AI – your new launchpad for creativity, collaboration, and productivity.",https://miro.com/ai/
Dutch Cycling Lifestyle,Yes,Design Creation,Yes,Add a touch of Dutch to your street. Create a happier and healthier street with our cycling lifestyle.,https://dutchcyclinglifestyle.com/
RunDiffusion (Stable Diffusion),Yes,Design Creation,No,Run Stable Diffusion online - no installations necessary!,https://rundiffusion.com/
fill3d.ai,Yes,Design Creation,Yes,"Virtual Staging with Generative Fill in 3D.
Upload a photo of an empty room, draw rectangles, describe the furniture you want, and render a photorealistic image in a minute.",https://www.fill3d.ai/
CONIX,Yes,Design Development,Yes,"AI-Chitecture Intelligence. Use CONIX to reduce time & resources, and generate better solutions for your customers. 1. Draw your land on Google Maps. 2. Enter land needs/ requirements. 3. Submit & receive your designs. CONIX.AI is compliant with Saudi Building Code, all projects are designed to be 100% complied with all relevant regulations and standards.",https://www.conix.ai/
SWAPP,Yes,Design Development,Yes,AI-Powered Construction Documents in Minutes.,https://www.swapp.ai/
Xkool,Yes,Design Development,No,"AI-driven BIM on Cloud, ABC: A new mode of building digitalization with the interaction of ""data, model, and regulations"".",https://www.xkool.ai/
Atvero,No,Platform,Yes,"Document & Drawing Management on Microsoft 365. 
Designed for architects and engineers.
https://atvero.com/atvero/overviewhttps://atvero.com/atvero/pricing
The only document control system built on SharePoint. 
In the world of hybrid working, Atvero creates an ideal cloud-based collaborative environment by adding AEC standardizations to SharePoint and Teams, helping architects and engineers gain more benefits from their Microsoft 365 subscriptions.",https://atvero.com/
Pathw.ai,Yes,Structural Design,Yes,"The best way to design your steel structures. Engineering calculations are one of the most complex parts in the design process of buildings. Pathw.ai automates the engineering flow for most of your connection designs, so that your experts can focus on the outliers.",https://www.pathw.ai/
Shape-E (by OpenAI),Yes,Design Creation,Yes,"Generate 3D objects conditioned on text or images. The Shap-E model is available for free on GitHub and it runs locally on your PC. Once all of the files and models are downloaded, it doesn't need to ping the Internet. And best of all, it doesn't require an OpenAI API key so you won't be charged for using it.",https://github.com/openai/shap-e/
CSM AI,Yes,Design Creation,No,"3D worlds from any input! 
1. Video to 3D - Create 3D textured assets and NeRFs from static or moving objects. 
2. Image to 3D - Translate single images to 3D assets.",https://www.csm.ai/
Urban Dashboard,Yes,Design Development,No,"A faster way to digitally plan real estate projects:
- All-in-one SaaS platform.
- Effortless volume design.
- On-demand analytics.
- Feasibility study in minute.

Use Urban Dashboard (UD) to quickly understand and realize the full potential of the land.
UD streamlines the iterative planning approach, giving planners and urban designers the ability to integrate and take advantage of an abundance of data sources and spatial analysis while also simplifying and shortening the planning process.
UD allows for data-rich decision making from an early stage, creating value and minimizing the chance for errors at the implementation phase. The platform enables multiple simulations and analyses of economic, environmental, and sustainability factors within moments.
UD enables seamless collaboration between stakeholders in a development project - developers, architects and urban designers, planners, and other stakeholders.
UD is unique in offering spatial analysis of sites and urban environments, as well as 3D modelling and options analysis. Thus, we offer our users ways to optimize design, priorities and financial outcomes to deliver better places for all.",https://www.urban-dashboard.info/
Primitive AI,Yes,Platform,No,We are developing a platform to scale best practices in building design. Sign up for early access through the website!,https://www.primitive-ai.com/
Genera.so,Yes,Design Creation,Yes,"Genera.so is a home for creative generative image applications. We built Genera to help model makers turn their models into online applications without the hassle of managing GPUs. Model creators who have a fine-tuned Stable Diffusion models - connect with us, we are currently in beta and looking to onboard more models. (There are currently 3 tools: Bau: AI Interior Designer, Arch-E; Architectural AI, and Industrial Design)",https://www.genera.so/
Sloyd,Yes,Design Creation,Yes,"Instant Automagic 3D creation. 3D modeling has never been easier. Select a generator, tweak, export.",https://www.sloyd.ai/
Kumu,No,Platform,No,"Make sense of your messy world. Kumu makes it easy to organize complex data into relationship maps that are beautiful to look at and a pleasure to use.
One platform. Endless possibilities. Whether you are mapping people, systems, or concepts in general, if you are focused on relationships we've got you covered.
• Stakeholder mapping - Explore the complex web of loyalties, interests, influence, and alignment of key players around important issues.
• Systems mapping - Understand and engage complex systems more effectively using systems maps and causal loop diagrams.
• Social network mapping - Capture the structure of personal networks and reveal key players. Visualize the informal networks within your organization and see how work really gets done.
• Community asset mapping - Keep track of the evolving relationships among community members and resources.
• Concept mapping - Brainstorm complex ideas and relate individual concepts to the bigger picture. Unfold convoluted series of events using Lombardi diagrams.",https://kumu.io/
TinyWow,No,Platform,Yes,"Free tools for basically everything. We offer PDF, video, image and other online tools to make your life easier.",https://tinywow.com/
Help Kit,Yes,Assistant,Yes,Easily build your Knowledge Base with Notion. Turn your Notion docs into a hosted self-service Knowledge Base for your customers – no code required.,https://www.helpkit.so/
Glyph by Evolve Lab,No,Design Specification,No,"Glyph is a Revit plugin that automates and standardizes multiple documentation tasks like view and sheet creation, tagging, dimensioning, and sheet packing. Glyph also provides customizable bundles that combine multiple tasks together and synchronizes custom tasks among multiple projects.",https://www.evolvelab.io/glyph
Flythroughs (by Luma AI),Yes,PropTech,Yes,Show off your space. Create professional Flythroughs using AI and just your iPhone.,https://lumalabs.ai/flythroughs
Kreo,Yes,Construction,No,"Powerful Construction Takeoff App. AI-powered construction takeoff and estimating software tools to help quantity surveyors, estimators and contractors save time and win more business.",https://www.kreo.net/
Monograph,No,Data Analysis,No,Your firm’s performance in plain sight. Easily forecast resources and track daily progress. Designed for architecture and engineering firms.,https://monograph.com/
Local Logic,Yes,PropTech,Yes,"You know the asset, we know the location. Location impacts 48% of an asset's value. Turn your gut feelings into certainty with the industry's most granular location insights.",https://locallogic.co/
Pipers,Yes,Design Creation,No,Create amazing Interior Design concepts. In a matter of seconds.,https://www.pipers.ai/
SmartRent,No,Data Analysis,Yes,"Take your property operations Next-Level Smart™.
Smart home automation doesn’t come with a one-size-fits-all solution. We tailor an experience that works best for each of your assets so you can scale at your own pace.",https://smartrent.com/
Delve,Yes,Design Development,No,"Delve empowers real estate teams to design better, faster, with less risk.",https://www.sidewalklabs.com/products/delve
OpenSpace,Yes,Surveying,Yes,"Your jobsite, fully captured. Just tap record and go. OpenSpace provides next-generation construction reality capture software, powerful integrations, and the smartest analytics tools in the industry.",https://www.openspace.ai/
bricklink (Studio 2.0),No,Design Specification,Yes,Create LEGO models.,https://www.bricklink.com/v3/studio/download.page
Dexory,Yes,Robotics,No,"Real-time data for inventory management using autonomous robots, for any warehouse size. Automate inventory processes to measure, track and find goods with zero manual intervention and zero warehouse downtime.",https://www.dexory.com/
Foldstruct,Yes,Platform,No,"FOLDSTRUCT creates optimized buildings using AI algorithms. Using our automated design-to-fabrication platform - DEVELOPERS, PLANNERS AND CONTRACTORS can achieve optimized projects for mainstream budgets like never before.",https://www.foldstruct.com/
Upsite,Yes,PropTech,No,Property maintenance on autopilot. Powered by UpsiteAI. Upsite is the shortest way to make sustainable decisions on a documented basis. A 100% digital service that translates property data into maintenance plans with green insight and ambition.,https://upsiteapp.com/
TextGPT,Yes,Assistant,Yes,"With TextGPT you can easily access OpenAi’s ChatGPT and Dall-E 2 through text messaging, receiving quick and accurate answers to any question you may have and generating realistic images with a simple text.",https://textgpt.net/
Morta,No,Data Analysis,No,We wanted ‘BIM’ … but got spreadsheets and documents. Save time and reduce risk by planning and tracking information deliverables using a customizable database that fills the gaps of your existing solutions.,https://morta.io/
GodMode,Yes,Platform,Yes,"Godmode.space is a tool that allows users to explore the power of generative agents, which are AI algorithms that can create new and unique outputs based on input data. The tool was developed by FOLLGAD and requires users to have JavaScript enabled in their browser to run. The primary function of Godmode.space is to assist users in generating unique and creative outputs in various contexts, such as determining the best market to launch a product, writing a resignation letter, or exploring hypothetical scenarios, such as an advanced pre-ice age civilization.",https://godmode.space/
Quivr,Yes,Assistant,Yes,"Get a Second Brain with Quivr. Quivr is your second brain in the cloud, designed to easily store and retrieve unstructured information.",https://www.quivr.app/
Poised,Yes,Assistant,Yes,"Your AI feedback partner in presentations/interviews/calls. 
Poised' AI will guide you through all the steps to communicating at your best in meetings. Prepare with personalized suggestions, speak confidently with real-time feedback and track your progress over time. Private feedback only you can see.",https://www.poised.com/
Invideo AI,Yes,Assistant,Yes,"Create videos with AI co-pilot Think of any topic, and invideo AI gets to work. It generates your script, creates scenes, adds voiceovers, and tweaks everything at your command. Let’s create videos that win over your audience!",https://invideo.io/ai/
Landing AI,Yes,Data Analysis,No,Create and deploy your computer vision system in minutes. No complex programming or AI experience needed.,https://landing.ai/
CONXAI,Yes,Construction,Yes,"Turn your data into actionable knowledge CONXAI's construction-aware AI analyzes and interprets your data to give you the insight you need, when you need it.",https://www.conxai.com/
Octant AI,Yes,Data Analysis,No,"Octant AI is a transformational artificial intelligence approach to improving project performance across multiple financial, time and risk key result areas.
On average, 9 out of 10 projects experience an overrun. The bigger the project, the greater the risk. OctantAI measures overrun and underrun, improves capital productivity and provides tangible financial returns with proven technology that is capable of 100-fold returns.",https://octantai.com/
VOLUM3,No,Platform,Yes,"Ultimate collaboration tool that helps your projects from start to finish. VOLUM3 enables construction professionals to collaborate on projects from any Internet-connected device with access to all project documents, contracts, RFIs, submittals, schedules, drawings and more.",https://www.volum3.com/
T2D2,Yes,Data Analysis,No,"The future of inspection - Capture. Detect. Analyze. Monitor.
T2D2's online inspection portal is a cloud software solution that allows building owners and their engineers to conveniently store inspection imagery all in one place. Whether the photos are taken by camera, mobile device or drone, it all can be uploaded to the T2D2 https://t2d2.ai/features Supercharge your inspection analysis with the T2D2 https://t2d2.ai/damagedetect to automatically find red flags that require immediate attention. Monitor deterioration over time to find where intervention is needed the most. Unlike a human inspector, the T2D2 Damage Detector uses computer vision trained by hundreds of thousands of forensic images to recognize deterioration sooner and catalog exterior inspection data faster, more accurately and with deeper levels of insight.",https://t2d2.ai/
BuildChatbot,Yes,Assistant,Yes,"Worlds #1 All-In-One AI Chatbot for enhancing your website visitors experience. Your personalized ChatGPT auto trained on your website and private data. Engage your website visitors like never before, your personalized AI chatbot will provide precise information to your visitors queries from your private content.",https://buildchatbot.ai/
ImgCreator,Yes,Design Creation,No,"The Ultimate AI Image Generator. Text to image, image to image & chatGPT powered AI designer.",https://imgcreator.zmo.ai/
BuildingRadar,Yes,PropTech,No,"Win more projects at scale with Revenue Engineering.
Our AI technology identifies new construction projects at the earliest possible opportunity then guides your sales team to convert that first mover advantage into booked revenue at scale – 100% measurable and with full transparency!",https://buildingradar.com/
Kwant,Yes,Construction,No,"Onboard, protect, and manage your workforce with insights. The leading workforce management & safety platform using safety wearables and plug-n-play sensors for data-driven insights.",https://www.kwant.ai/
Leonardo.Ai,Yes,Design Creation,Yes,"Create stunning game assets with AI. Fast, Easy and Artist Friendly:
- Use an Existing Model - Use a general or fine-tuned model to generate all sorts of production-ready art assets.
- Train Your Own AI Models - In just a few clicks, you can train your own AI model and generate thousands of variations and deviations from your training data. Iterate to your heart's content. 
- Discover Unlimited Potential - Create a universe with infinite possibilities in minutes. Rapidly iterate with ease while keeping a consistent look or style. This is a real Game Changer.",https://leonardo.ai/
Architechtures,Yes,Design Development,Yes,AI-Powered building design web tool for the residential sector to help you improve decision making and reduce design time from months to minutes.,https://architechtures.com/
Togal,Yes,Data Analysis,No,"The Most Innovative Takeoff Tool on the Market:
- Takeoff construction projects 80% faster.
- 98% accuracy on floor plans.
- Cloud-based collaboration allows multiple team members to work on the same takeoff.
- Analyze any drawing, no matter the file type.
- Compare drawing sets and quantify changes made with a simple click.",https://www.togal.ai/
rayon,No,Design Specification,Yes,"Collaborative Space Design - Built for Speed, designed for Teams.",https://www.rayon.design/
YouAi (MindStudio),Yes,Platform,Yes,"The Fastest Way To Build AI-Powered Apps. Create custom AIs for consumers, SMBs, and enterprises - no coding required.",https://youai.ai/
Rooms.xyz,No,Design Development,Yes,Create & remix interactive rooms from your browser.,https://rooms.xyz/
InFraReD,Yes,Design Development,No,"InFraReD is a platform for intelligent and resilient urban design based on Artificial Intelligence. Our state of the art machine learning models can provide real-time feedback on the performance of your designs and guide your decisions at every step of the process. InFraReD currently provides feedback on solar, sunlight and wind performance but more analyses are coming soon.",http://infrared.city/
Scribe,No,Platform,No,"Turn any process into a step-by-step guide, instantly.",https://scribehow.com/
Infurnia,No,Design Specification,Yes,"Cloud-native architecture software that enables you to seamlessly implement BIM in your designs, collaborate easily across functions, and manage your data efficiently.",https://www.infurnia.com/
ChartGen AI (Einblick),Yes,Assistant,No,1. Upload dataset; 2. Describe chart you want; 3. Generate chart.,https://www.einblick.ai/chartgenai/
G-Prompter,Yes,Assistant,Yes,"G-Prompter lets users train their prompt systems with their own unique examples—so it creates new, specific prompts using prompts you already like as its inspiration. You can also acquire an OpenAI API key for access to preconfigured queries.",https://www.g-prompter.com/en
Masstimber Configurator,No,AEC Hackathon,No,Analyze the affect of mass timber and various decisions of how your building is with this app. Integrate wood into your construction project.,https://masstimber-configurator.netlify.app/
SoleSensor,Yes,Data Analysis,No,"Floor sensors for utilization and occupancy tracking & analytics, for retail, trade show, and event spaces.",https://www.scanalyticsinc.com/solesensor
Parafin3D,Yes,Design Development,Yes,"Generative Building Design for real estate development.
A software that allows architects and designers to create and manipulate building designs in 3D.",https://www.parafin3d.com/
Chatmind,Yes,Assistant,Yes,Chatmind is here to help with your creative journey. Enter a topic for your mind map or use our templates to start quickly.,https://chatmind.tech/
Constru,Yes,Construction,No,"https://apps.autodesk.com/BIM360/en/Detail/Index?id=4945726651704953896&appLang=en&os=Web uses advanced computer vision and AI to streamline and improve construction project management. Geared towards superintendents and project managers, the solution helps users identify differences between construction plans and actual builds by automatically comparing BIM to 360° images of the jobsite. This makes it easy to identify discrepancies and reduce rework. 
Constru also gives you the option to integrate system-detected discrepancies into Autodesk Construction Cloud as Issues. That way, you can manage the solution's automated discrepancy detection alongside manually detected issues, all within familiar workflows.",https://apps.autodesk.com/BIM360/en/Detail/Index?id=4945726651704953896&appLang=en&os=Web
Luke,Yes,PropTech,Yes,"AI-powered chatbot for inquiries about properties. Buy with an edge, from search to close. Free. Get an advantage over other buyers with Luke's Buying Team, powered by AI and top real estate experts.",https://textluke.com/
Modulous (TESSA),Yes,Design Development,Yes,"A building information modeling (BIM) platform for architects, engineers, and contractors to collaborate on building projects.",https://www.modulous.com/
Segment Anything (Research by Meta AI),Yes,Design Creation,No,"AI Computer Vision Research. Segment Anything Model (SAM): a new AI model from Meta AI that can ""cut out"" any object, in any image, with a single click. SAM is a promptable segmentation system with zero-shot generalization to unfamiliar objects and images, without the need for additional training.",https://segment-anything.com/
Maket,Yes,Design Specification,Yes,"Generative Design for Architectural Planning.
A tool that allows architects and designers to create and manipulate building designs in real-time using natural language commands.",https://www.maket.ai/
Future Tools,No,News,Yes,FutureTools Collects & Organizes All The Best AI Tools So YOU Too Can Become Superhuman!,https://www.futuretools.io/
DroneDeploy,Yes,Surveying,Yes,"Reality capture software. Build with certainty. Operate with confidence.
The only platform that connects your people to your sites across the entire asset lifecycle.",https://www.dronedeploy.com/
Zebel,Yes,Design Development,No,Zebel is a cloud-based software to organize and use your historical project data to make more informed decisions on planning your future projects.,https://www.zebel.io/
Laiout,Yes,Design Specification,Yes,Automated floor plans in seconds. A software that allows architects and designers to create floor plans and building designs in 3D.,https://www.laiout.co/
Neuron,No,Data Analysis,Yes,"Engineering space planning, Revolutionized. Helping property professionals engineer better buildings with trusted expertise and hyper-streamlined cloud technology.",https://neuron.build/
Phoenix iO,No,Assistant,No,"Phoenix iO is building a project execution software, for the civil engineering and construction industry; for those seeking to optimize their efficiency.",https://www.phoenixio.one/
Anari,Yes,Robotics,Yes,Anari AI is building the AI hardware industry from scratch by delivering a new way of designing and using AI chips. It pioneers reconfigurable AI for customers to personalize their infrastructure in just one click; it also enables chip designers to rapidly create and deploy their solutions.,https://anari.ai/
AEC+Tech,No,News,Yes,"A sharing & discovering platform to both tool innovators & tool end users, so they can create profiles, showcase their real-world projects, and connect with one another. 
AEC Plus Tech help small businesses get online with custom websites, digital marketing, and SEO.",https://www.aecplustech.com/
Speckle,No,Platform,Yes,"The Platform For 3D Data. Speckle is an open source software platform that helps you get in control of your own data. Speckle stores your 3D models and BIM data directly inside a database in a transparent and accessible way.

Speckle is a swiss-army knife for working with 3D data and we keep adding new functionalities every day. Here are some of the main things people have been using Speckle for:
• Interoperability: get your CAD and BIM models into other software without exporting or importing
• 3D Viewer: see your CAD and BIM models online, share and embed them anywhere
• Real time: get real time updates and notifications and changes
• Object-based: say goodbye to files! Speckle is the first object based platform for the AEC industry, store your data in a fast and accessible database
• Version control: Speckle is the Git & Hub for geometry and BIM data - you can manage multiple versions of this data with ease!
• Collaboration: share your designs collaborate with others
• Permission and data management: set granular permissions on you designs and parts of them
• GraphQL API: get what you need anywhere you want it
• Webhooks: the base for a automation and next-gen pipelines
• Custom Apps: create custom apps that leverage your data the way you want
• Built for developers: we are building Speckle with developers in mind and got tools for every stack
• Built for the AEC industry: Speckle connectors are plugins for the most common software used in the industry such as Revit, Rhino, Grasshopper, AutoCAD, Civil 3D, Excel, Unreal Engine, Unity, QGIS, Blender and more!

In short, Speckle is a great basis for you company's digital transformation and for transitioning to digital and data driven workflows.",https://speckle.systems/
Structure Plus,Yes,Structural Design,Yes,Cloud-based AI software optimizing the structural design to reduce structural costs and carbon emission.,https://www.structure.plus/
Hugging Face,No,Platform,No,"A platform for developing and deploying natural language processing models, including those for machine learning-based building design.",https://huggingface.co/
LookX,Yes,Design Creation,No,Next generation AI platform for designers (including architects).,https://www.lookx.ai/
WiseBIM,Yes,Design Specification,No,Artificial Intelligence software editor for BIM modeling.,https://wisebim.fr/
Arcol,No,Design Specification,Yes,"A design and documentation tool that helps AEC teams create better buildings, faster.",https://arcol.io/
Contract Intelligence (formerly Leverton AI),Yes,Data Analysis,No,"Make fast, data-driven decisions with AI to unlock hidden value from your contracts. Contract Intelligence (formerly Leverton AI) drastically reduces data extraction and contract management time, bringing speed and accuracy back to your organization.",https://mricontractintelligence.com/
Strayos,Yes,Surveying,No,Accelerating Sustainable Mining. Visual AI solutions for entire Mine to Mill value chain.,https://www.strayos.com/
Chronotrains,No,Data Analysis,Yes,e,https://www.chronotrains.com/en
ModelScope,Yes,Design Creation,No,"This model is based on a multi-stage text-to-video generation diffusion model, which inputs a description text and returns a video that matches the text description. Only English input is supported.",https://modelscope.cn/models/damo/text-to-video-synthesis/summary
Animated Drawings (by Meta AI),Yes,Design Creation,Yes,"Bring children's drawings to life, by animating characters to move around!",https://sketch.metademolab.com/
Studio AI,Yes,Platform,Yes,A New Era Calls for A New Design Tool. The new age design tool with WebDesignAI inside.,https://studio.design/
Imerso,Yes,Construction,Yes,"Imerso is the world's first platform that monitors the As Built status of your building projects against the BIM execution plan.
Close the Gap Between As Built and As Planned in three steps:
Step 1: Upload your BIM files: Your BIM files are the performance targets Imerso uses to check everything is on track. This will let your teams know exactly where they are in relation to the BIM execution plans.
Step 2: Connect the As Built reality: Imerso has the fastest and easiest-to-learn 3D scanning process in the market, so your team can scan the site frequently entirely by themselves. Reduce travel costs by 50% and get the most out of every site visit.
Step 3: Review the inspection results: Imerso gives you answers, not just data. Verify reports of completed work with independent data-driven checks and avoid costly overlooked issues.",https://www.imerso.com/
Google Photorealistic 3D Tiles,No,Platform,Yes,Create immersive 3D map experiences with Photorealistic 3D Tiles.,https://cloud.google.com/blog/products/maps-platform/create-immersive-3d-map-experiences-photorealistic-3d-tiles
Dorosi AI,Yes,Design Creation,No,A space where you can create your own fairy tale at your fingertips.,https://dorosiai.com/
CITYPLAIN,Yes,Design Development,Yes,CITYPLAIN is a cloud computing tool for urban planning that tackles the global need for affordable housing within city extensions. It allows comprehensive scenario comparison and cross-team collaboration to improve decision making processes.,https://www.cityplain.com/
Infinigen,No,Platform,No,"This one isn't actually using AI, but it's worth mentioning because of its cool features. It's free and open-source, leveraging the capabilities of Blender (which is also free). This tool can procedurally generate any 3D world you can imagine, creating depth maps and labeling every aspect of the world it generates. With these labels and additional contextual information about the world it's generated, you can adjust every setting down to the smallest detail to sculpt every single element within the world you've created at a granular level.",https://github.com/princeton-vl/infinigen
Qualomate,Yes,Data Analysis,No,"The Easiest Way To Manage Your QA Process. Save Time, Reduce Risk, and Reduce Rework. Just email your test results to Qualomate:
- Our artificial intelligence automatically extracts the relevant data from the materials test.
- The results are compared to the specs and showcases ""pass"" or ""fail"".
- Real-time progress is visualized and updated for every new report.
- Reports are organized and easy to find.",https://www.qualomate.com/
Build Flow AI,Yes,Design Development,Yes,"AI generated buildings. Checked by qualified architects.
Overnight turnover feasibility study and concept design for any site, anywhere. Download a sample feasibility report below.",https://www.buildflowai.com/
Picogen,Yes,Design Creation,No,"Midjourney APIwith easy integration. Unlock endless possibilities with Midjourney API – 
turn your words into vivid images.",https://picogen.io/
L2-Labs,Yes,Construction,No,Personal protective equipment detection.,https://l2-labs.com/expertise/personal-protective-equipment
cove.tool,Yes,Data Analysis,No,"cove.tool is the first cloud-based network of tools to create interconnectivity between all teams working in the design and pre-construction cycle — reducing risk, boosting transparency, and maximizing productivity across the board.",https://cove.tools/
LAYER,No,Platform,Yes,Make Project Decisions with Confidence. Layer App helps you stay organized and avoid costly mistakes. Integrate your Revit model and analyze data.,https://layer.team/
causaLens,Yes,Data Analysis,Yes,"AI Decision-Makers Trust. Radically advance human decision making with Causal AI. Loved by data scientists, trusted by decision makers - https://www.causalens.com/decision-os/ - the First Operating System for Decision-Making Powered by Causal AI.",https://www.causalens.com/
NoiseGPT,Yes,Assistant,No,"NoiseGPT is a decentralized AI platform that offers hyper-realistic text-to-speech, human-like dialogue bots and voice cloning from short audio samples.
What makes it different: NoiseGPT prioritizes freedom of speech and avoids biases and censorship. It also integrates with platforms like Telegram, Twitter, and Discord.",https://noisegpt.com/
Plooto,Yes,Design Development,Yes,Sustainable Buildings Configurator.,https://iamplooto.com/
RoomGPT,Yes,Design Creation,No,Redesign rooms in seconds using AI. Take a picture of a room and instantly redesign it in 8+ different themes. Join thousands of happy customers and remodel your room today!,https://www.roomgpt.io/
Coohom,Yes,Design Creation,Yes,"1. Coohom AI-powered photography tool. Create stunning product photos in seconds.
2. Coohom, the all-in-one 3D design tool. Build a 3D home in 10 minutes, render a stunning video in 1 minute.",https://www.coohom.com/
Archipelago,No,Data Analysis,No,Drive better financial outcomes by getting your commercial property data out of dated spreadsheets and onto Archipelago.,https://www.onarchipelago.com/
Mokker,Yes,Design Creation,No,AI Background Replacement.,https://mokker.ai/
MetricMonkey,Yes,Design Development,No,Design better buildings/masterplans/cities. Feasibility Studies Made Easy.,https://metricmonkey.io/
Earlybuild,Yes,PropTech,No,Efficient planning and building with earlybuild. All information from a single source! AI-based early design platform for real estate developers.,https://earlybuild.ai/
Whimsical,Yes,Design Creation,No,AI for Mind Maps.,https://whimsical.com/ai-mind-maps
Microsoft Copilot,Yes,Assistant,Yes,"AI assistant for Microsoft 365 applications and services, with a multitude of use-cases.",https://blogs.microsoft.com/blog/2023/03/16/introducing-microsoft-365-copilot-your-copilot-for-work/
Architext,Yes,Design Development,Yes,Take architectural designs from theory to reality using only words.,https://architext.design/
Rytr,Yes,Assistant,No,"Rytr is an AI writing assistant that helps you create high-quality content, in just a few seconds, at a fraction of the cost!",https://rytr.me/
Canva AI Image Generator,Yes,Design Creation,No,"Free Online AI Image Generator. Dream it up, then add it to your design. Watch your words and phrases transform into beautiful images with Text to Image, Canva's AI image generator. Stand out with an image perfect for your project.",https://www.canva.com/ai-image-generator/
ARK,Yes,Design Development,Yes,"Create Optimized Floor Plans Fast & Efficiently. The first AI platform for creating architectural schematic design.‍ Optimize profitability, density and living standards while meeting all code regulations.",https://arkdesign.ai/
Practica,Yes,Assistant,No,"There's a better way to grow in your career. Actually, there are two! 
1. Start an AI coaching session (Get immediate advice for your work challenges, for a low monthly cost.)
2. Get matched to a human coach (Pair with a domain expert for recurring 1-hour sessions. Starts at $150 per session.)",https://practicahq.com/
